ID,Parameter_ID,Name,Description,Number
67,12,A,feature is pervasive or obligatory,1
68,12,B,feature is neither pervasive nor extremely rare,2
69,12,C,"feature exists, but is extremely rare",3
70,12,D,attested absence of feature,4
71,12,X,feature is not applicable (given the structural make-up of the variety/P/C),5
72,12,?,no information on feature is available,6
73,13,A,feature is pervasive or obligatory,1
74,13,B,feature is neither pervasive nor extremely rare,2
75,13,C,"feature exists, but is extremely rare",3
76,13,D,attested absence of feature,4
77,13,X,feature is not applicable (given the structural make-up of the variety/P/C),5
78,13,?,no information on feature is available,6
79,14,A,feature is pervasive or obligatory,1
80,14,B,feature is neither pervasive nor extremely rare,2
81,14,C,"feature exists, but is extremely rare",3
82,14,D,attested absence of feature,4
83,14,X,feature is not applicable (given the structural make-up of the variety/P/C),5
84,14,?,no information on feature is available,6
85,15,A,feature is pervasive or obligatory,1
86,15,B,feature is neither pervasive nor extremely rare,2
87,15,C,"feature exists, but is extremely rare",3
88,15,D,attested absence of feature,4
89,15,X,feature is not applicable (given the structural make-up of the variety/P/C),5
90,15,?,no information on feature is available,6
91,16,A,feature is pervasive or obligatory,1
92,16,B,feature is neither pervasive nor extremely rare,2
93,16,C,"feature exists, but is extremely rare",3
94,16,D,attested absence of feature,4
95,16,X,feature is not applicable (given the structural make-up of the variety/P/C),5
96,16,?,no information on feature is available,6
97,17,A,feature is pervasive or obligatory,1
98,17,B,feature is neither pervasive nor extremely rare,2
99,17,C,"feature exists, but is extremely rare",3
100,17,D,attested absence of feature,4
101,17,X,feature is not applicable (given the structural make-up of the variety/P/C),5
102,17,?,no information on feature is available,6
103,18,A,feature is pervasive or obligatory,1
104,18,B,feature is neither pervasive nor extremely rare,2
105,18,C,"feature exists, but is extremely rare",3
106,18,D,attested absence of feature,4
107,18,X,feature is not applicable (given the structural make-up of the variety/P/C),5
108,18,?,no information on feature is available,6
109,19,A,feature is pervasive or obligatory,1
110,19,B,feature is neither pervasive nor extremely rare,2
111,19,C,"feature exists, but is extremely rare",3
112,19,D,attested absence of feature,4
113,19,X,feature is not applicable (given the structural make-up of the variety/P/C),5
114,19,?,no information on feature is available,6
115,20,A,feature is pervasive or obligatory,1
116,20,B,feature is neither pervasive nor extremely rare,2
117,20,C,"feature exists, but is extremely rare",3
118,20,D,attested absence of feature,4
119,20,X,feature is not applicable (given the structural make-up of the variety/P/C),5
120,20,?,no information on feature is available,6
121,21,A,feature is pervasive or obligatory,1
122,21,B,feature is neither pervasive nor extremely rare,2
123,21,C,"feature exists, but is extremely rare",3
124,21,D,attested absence of feature,4
125,21,X,feature is not applicable (given the structural make-up of the variety/P/C),5
126,21,?,no information on feature is available,6
127,22,A,feature is pervasive or obligatory,1
128,22,B,feature is neither pervasive nor extremely rare,2
129,22,C,"feature exists, but is extremely rare",3
130,22,D,attested absence of feature,4
131,22,X,feature is not applicable (given the structural make-up of the variety/P/C),5
132,22,?,no information on feature is available,6
133,23,A,feature is pervasive or obligatory,1
134,23,B,feature is neither pervasive nor extremely rare,2
135,23,C,"feature exists, but is extremely rare",3
136,23,D,attested absence of feature,4
137,23,X,feature is not applicable (given the structural make-up of the variety/P/C),5
138,23,?,no information on feature is available,6
139,24,A,feature is pervasive or obligatory,1
140,24,B,feature is neither pervasive nor extremely rare,2
141,24,C,"feature exists, but is extremely rare",3
142,24,D,attested absence of feature,4
143,24,X,feature is not applicable (given the structural make-up of the variety/P/C),5
144,24,?,no information on feature is available,6
145,25,A,feature is pervasive or obligatory,1
146,25,B,feature is neither pervasive nor extremely rare,2
147,25,C,"feature exists, but is extremely rare",3
148,25,D,attested absence of feature,4
149,25,X,feature is not applicable (given the structural make-up of the variety/P/C),5
150,25,?,no information on feature is available,6
151,26,A,feature is pervasive or obligatory,1
152,26,B,feature is neither pervasive nor extremely rare,2
153,26,C,"feature exists, but is extremely rare",3
154,26,D,attested absence of feature,4
155,26,X,feature is not applicable (given the structural make-up of the variety/P/C),5
156,26,?,no information on feature is available,6
157,27,A,feature is pervasive or obligatory,1
158,27,B,feature is neither pervasive nor extremely rare,2
159,27,C,"feature exists, but is extremely rare",3
160,27,D,attested absence of feature,4
161,27,X,feature is not applicable (given the structural make-up of the variety/P/C),5
162,27,?,no information on feature is available,6
163,28,A,feature is pervasive or obligatory,1
164,28,B,feature is neither pervasive nor extremely rare,2
165,28,C,"feature exists, but is extremely rare",3
166,28,D,attested absence of feature,4
167,28,X,feature is not applicable (given the structural make-up of the variety/P/C),5
168,28,?,no information on feature is available,6
169,29,A,feature is pervasive or obligatory,1
170,29,B,feature is neither pervasive nor extremely rare,2
171,29,C,"feature exists, but is extremely rare",3
172,29,D,attested absence of feature,4
173,29,X,feature is not applicable (given the structural make-up of the variety/P/C),5
174,29,?,no information on feature is available,6
175,30,A,feature is pervasive or obligatory,1
176,30,B,feature is neither pervasive nor extremely rare,2
177,30,C,"feature exists, but is extremely rare",3
178,30,D,attested absence of feature,4
179,30,X,feature is not applicable (given the structural make-up of the variety/P/C),5
180,30,?,no information on feature is available,6
181,31,A,feature is pervasive or obligatory,1
182,31,B,feature is neither pervasive nor extremely rare,2
183,31,C,"feature exists, but is extremely rare",3
184,31,D,attested absence of feature,4
185,31,X,feature is not applicable (given the structural make-up of the variety/P/C),5
186,31,?,no information on feature is available,6
187,32,A,feature is pervasive or obligatory,1
188,32,B,feature is neither pervasive nor extremely rare,2
189,32,C,"feature exists, but is extremely rare",3
190,32,D,attested absence of feature,4
191,32,X,feature is not applicable (given the structural make-up of the variety/P/C),5
192,32,?,no information on feature is available,6
193,33,A,feature is pervasive or obligatory,1
194,33,B,feature is neither pervasive nor extremely rare,2
195,33,C,"feature exists, but is extremely rare",3
196,33,D,attested absence of feature,4
197,33,X,feature is not applicable (given the structural make-up of the variety/P/C),5
198,33,?,no information on feature is available,6
199,34,A,feature is pervasive or obligatory,1
200,34,B,feature is neither pervasive nor extremely rare,2
201,34,C,"feature exists, but is extremely rare",3
202,34,D,attested absence of feature,4
203,34,X,feature is not applicable (given the structural make-up of the variety/P/C),5
204,34,?,no information on feature is available,6
205,35,A,feature is pervasive or obligatory,1
206,35,B,feature is neither pervasive nor extremely rare,2
207,35,C,"feature exists, but is extremely rare",3
208,35,D,attested absence of feature,4
209,35,X,feature is not applicable (given the structural make-up of the variety/P/C),5
210,35,?,no information on feature is available,6
211,36,A,feature is pervasive or obligatory,1
212,36,B,feature is neither pervasive nor extremely rare,2
213,36,C,"feature exists, but is extremely rare",3
214,36,D,attested absence of feature,4
215,36,X,feature is not applicable (given the structural make-up of the variety/P/C),5
216,36,?,no information on feature is available,6
217,37,A,feature is pervasive or obligatory,1
218,37,B,feature is neither pervasive nor extremely rare,2
219,37,C,"feature exists, but is extremely rare",3
220,37,D,attested absence of feature,4
221,37,X,feature is not applicable (given the structural make-up of the variety/P/C),5
222,37,?,no information on feature is available,6
223,38,A,feature is pervasive or obligatory,1
224,38,B,feature is neither pervasive nor extremely rare,2
225,38,C,"feature exists, but is extremely rare",3
226,38,D,attested absence of feature,4
227,38,X,feature is not applicable (given the structural make-up of the variety/P/C),5
228,38,?,no information on feature is available,6
229,39,A,feature is pervasive or obligatory,1
230,39,B,feature is neither pervasive nor extremely rare,2
231,39,C,"feature exists, but is extremely rare",3
232,39,D,attested absence of feature,4
233,39,X,feature is not applicable (given the structural make-up of the variety/P/C),5
234,39,?,no information on feature is available,6
235,40,A,feature is pervasive or obligatory,1
236,40,B,feature is neither pervasive nor extremely rare,2
237,40,C,"feature exists, but is extremely rare",3
238,40,D,attested absence of feature,4
239,40,X,feature is not applicable (given the structural make-up of the variety/P/C),5
240,40,?,no information on feature is available,6
241,41,A,feature is pervasive or obligatory,1
242,41,B,feature is neither pervasive nor extremely rare,2
243,41,C,"feature exists, but is extremely rare",3
244,41,D,attested absence of feature,4
245,41,X,feature is not applicable (given the structural make-up of the variety/P/C),5
246,41,?,no information on feature is available,6
247,42,A,feature is pervasive or obligatory,1
248,42,B,feature is neither pervasive nor extremely rare,2
249,42,C,"feature exists, but is extremely rare",3
250,42,D,attested absence of feature,4
251,42,X,feature is not applicable (given the structural make-up of the variety/P/C),5
252,42,?,no information on feature is available,6
253,43,A,feature is pervasive or obligatory,1
254,43,B,feature is neither pervasive nor extremely rare,2
255,43,C,"feature exists, but is extremely rare",3
256,43,D,attested absence of feature,4
257,43,X,feature is not applicable (given the structural make-up of the variety/P/C),5
258,43,?,no information on feature is available,6
259,44,A,feature is pervasive or obligatory,1
260,44,B,feature is neither pervasive nor extremely rare,2
261,44,C,"feature exists, but is extremely rare",3
262,44,D,attested absence of feature,4
263,44,X,feature is not applicable (given the structural make-up of the variety/P/C),5
264,44,?,no information on feature is available,6
265,45,A,feature is pervasive or obligatory,1
266,45,B,feature is neither pervasive nor extremely rare,2
267,45,C,"feature exists, but is extremely rare",3
268,45,D,attested absence of feature,4
269,45,X,feature is not applicable (given the structural make-up of the variety/P/C),5
270,45,?,no information on feature is available,6
271,46,A,feature is pervasive or obligatory,1
272,46,B,feature is neither pervasive nor extremely rare,2
273,46,C,"feature exists, but is extremely rare",3
274,46,D,attested absence of feature,4
275,46,X,feature is not applicable (given the structural make-up of the variety/P/C),5
276,46,?,no information on feature is available,6
277,47,A,feature is pervasive or obligatory,1
278,47,B,feature is neither pervasive nor extremely rare,2
279,47,C,"feature exists, but is extremely rare",3
280,47,D,attested absence of feature,4
281,47,X,feature is not applicable (given the structural make-up of the variety/P/C),5
282,47,?,no information on feature is available,6
283,48,A,feature is pervasive or obligatory,1
284,48,B,feature is neither pervasive nor extremely rare,2
285,48,C,"feature exists, but is extremely rare",3
286,48,D,attested absence of feature,4
287,48,X,feature is not applicable (given the structural make-up of the variety/P/C),5
288,48,?,no information on feature is available,6
289,49,A,feature is pervasive or obligatory,1
290,49,B,feature is neither pervasive nor extremely rare,2
291,49,C,"feature exists, but is extremely rare",3
292,49,D,attested absence of feature,4
293,49,X,feature is not applicable (given the structural make-up of the variety/P/C),5
294,49,?,no information on feature is available,6
295,50,A,feature is pervasive or obligatory,1
296,50,B,feature is neither pervasive nor extremely rare,2
297,50,C,"feature exists, but is extremely rare",3
298,50,D,attested absence of feature,4
299,50,X,feature is not applicable (given the structural make-up of the variety/P/C),5
300,50,?,no information on feature is available,6
301,51,A,feature is pervasive or obligatory,1
302,51,B,feature is neither pervasive nor extremely rare,2
303,51,C,"feature exists, but is extremely rare",3
304,51,D,attested absence of feature,4
305,51,X,feature is not applicable (given the structural make-up of the variety/P/C),5
306,51,?,no information on feature is available,6
307,52,A,feature is pervasive or obligatory,1
308,52,B,feature is neither pervasive nor extremely rare,2
309,52,C,"feature exists, but is extremely rare",3
310,52,D,attested absence of feature,4
311,52,X,feature is not applicable (given the structural make-up of the variety/P/C),5
312,52,?,no information on feature is available,6
313,53,A,feature is pervasive or obligatory,1
314,53,B,feature is neither pervasive nor extremely rare,2
315,53,C,"feature exists, but is extremely rare",3
316,53,D,attested absence of feature,4
317,53,X,feature is not applicable (given the structural make-up of the variety/P/C),5
318,53,?,no information on feature is available,6
319,54,A,feature is pervasive or obligatory,1
320,54,B,feature is neither pervasive nor extremely rare,2
321,54,C,"feature exists, but is extremely rare",3
322,54,D,attested absence of feature,4
323,54,X,feature is not applicable (given the structural make-up of the variety/P/C),5
324,54,?,no information on feature is available,6
325,55,A,feature is pervasive or obligatory,1
326,55,B,feature is neither pervasive nor extremely rare,2
327,55,C,"feature exists, but is extremely rare",3
328,55,D,attested absence of feature,4
329,55,X,feature is not applicable (given the structural make-up of the variety/P/C),5
330,55,?,no information on feature is available,6
331,56,A,feature is pervasive or obligatory,1
332,56,B,feature is neither pervasive nor extremely rare,2
333,56,C,"feature exists, but is extremely rare",3
334,56,D,attested absence of feature,4
335,56,X,feature is not applicable (given the structural make-up of the variety/P/C),5
336,56,?,no information on feature is available,6
337,57,A,feature is pervasive or obligatory,1
338,57,B,feature is neither pervasive nor extremely rare,2
339,57,C,"feature exists, but is extremely rare",3
340,57,D,attested absence of feature,4
341,57,X,feature is not applicable (given the structural make-up of the variety/P/C),5
342,57,?,no information on feature is available,6
343,58,A,feature is pervasive or obligatory,1
344,58,B,feature is neither pervasive nor extremely rare,2
345,58,C,"feature exists, but is extremely rare",3
346,58,D,attested absence of feature,4
347,58,X,feature is not applicable (given the structural make-up of the variety/P/C),5
348,58,?,no information on feature is available,6
349,59,A,feature is pervasive or obligatory,1
350,59,B,feature is neither pervasive nor extremely rare,2
351,59,C,"feature exists, but is extremely rare",3
352,59,D,attested absence of feature,4
353,59,X,feature is not applicable (given the structural make-up of the variety/P/C),5
354,59,?,no information on feature is available,6
355,60,A,feature is pervasive or obligatory,1
356,60,B,feature is neither pervasive nor extremely rare,2
357,60,C,"feature exists, but is extremely rare",3
358,60,D,attested absence of feature,4
359,60,X,feature is not applicable (given the structural make-up of the variety/P/C),5
360,60,?,no information on feature is available,6
361,61,A,feature is pervasive or obligatory,1
362,61,B,feature is neither pervasive nor extremely rare,2
363,61,C,"feature exists, but is extremely rare",3
364,61,D,attested absence of feature,4
365,61,X,feature is not applicable (given the structural make-up of the variety/P/C),5
366,61,?,no information on feature is available,6
367,62,A,feature is pervasive or obligatory,1
368,62,B,feature is neither pervasive nor extremely rare,2
369,62,C,"feature exists, but is extremely rare",3
370,62,D,attested absence of feature,4
371,62,X,feature is not applicable (given the structural make-up of the variety/P/C),5
372,62,?,no information on feature is available,6
373,63,A,feature is pervasive or obligatory,1
374,63,B,feature is neither pervasive nor extremely rare,2
375,63,C,"feature exists, but is extremely rare",3
376,63,D,attested absence of feature,4
377,63,X,feature is not applicable (given the structural make-up of the variety/P/C),5
378,63,?,no information on feature is available,6
379,64,A,feature is pervasive or obligatory,1
380,64,B,feature is neither pervasive nor extremely rare,2
381,64,C,"feature exists, but is extremely rare",3
382,64,D,attested absence of feature,4
383,64,X,feature is not applicable (given the structural make-up of the variety/P/C),5
384,64,?,no information on feature is available,6
385,65,A,feature is pervasive or obligatory,1
386,65,B,feature is neither pervasive nor extremely rare,2
387,65,C,"feature exists, but is extremely rare",3
388,65,D,attested absence of feature,4
389,65,X,feature is not applicable (given the structural make-up of the variety/P/C),5
390,65,?,no information on feature is available,6
391,66,A,feature is pervasive or obligatory,1
392,66,B,feature is neither pervasive nor extremely rare,2
393,66,C,"feature exists, but is extremely rare",3
394,66,D,attested absence of feature,4
395,66,X,feature is not applicable (given the structural make-up of the variety/P/C),5
396,66,?,no information on feature is available,6
397,67,A,feature is pervasive or obligatory,1
398,67,B,feature is neither pervasive nor extremely rare,2
399,67,C,"feature exists, but is extremely rare",3
400,67,D,attested absence of feature,4
401,67,X,feature is not applicable (given the structural make-up of the variety/P/C),5
402,67,?,no information on feature is available,6
403,68,A,feature is pervasive or obligatory,1
404,68,B,feature is neither pervasive nor extremely rare,2
405,68,C,"feature exists, but is extremely rare",3
406,68,D,attested absence of feature,4
407,68,X,feature is not applicable (given the structural make-up of the variety/P/C),5
408,68,?,no information on feature is available,6
409,69,A,feature is pervasive or obligatory,1
410,69,B,feature is neither pervasive nor extremely rare,2
411,69,C,"feature exists, but is extremely rare",3
412,69,D,attested absence of feature,4
413,69,X,feature is not applicable (given the structural make-up of the variety/P/C),5
414,69,?,no information on feature is available,6
415,70,A,feature is pervasive or obligatory,1
416,70,B,feature is neither pervasive nor extremely rare,2
417,70,C,"feature exists, but is extremely rare",3
418,70,D,attested absence of feature,4
419,70,X,feature is not applicable (given the structural make-up of the variety/P/C),5
420,70,?,no information on feature is available,6
421,71,A,feature is pervasive or obligatory,1
422,71,B,feature is neither pervasive nor extremely rare,2
423,71,C,"feature exists, but is extremely rare",3
424,71,D,attested absence of feature,4
425,71,X,feature is not applicable (given the structural make-up of the variety/P/C),5
426,71,?,no information on feature is available,6
427,72,A,feature is pervasive or obligatory,1
428,72,B,feature is neither pervasive nor extremely rare,2
429,72,C,"feature exists, but is extremely rare",3
430,72,D,attested absence of feature,4
431,72,X,feature is not applicable (given the structural make-up of the variety/P/C),5
432,72,?,no information on feature is available,6
433,73,A,feature is pervasive or obligatory,1
434,73,B,feature is neither pervasive nor extremely rare,2
435,73,C,"feature exists, but is extremely rare",3
436,73,D,attested absence of feature,4
437,73,X,feature is not applicable (given the structural make-up of the variety/P/C),5
438,73,?,no information on feature is available,6
439,74,A,feature is pervasive or obligatory,1
440,74,B,feature is neither pervasive nor extremely rare,2
441,74,C,"feature exists, but is extremely rare",3
442,74,D,attested absence of feature,4
443,74,X,feature is not applicable (given the structural make-up of the variety/P/C),5
444,74,?,no information on feature is available,6
445,75,A,feature is pervasive or obligatory,1
446,75,B,feature is neither pervasive nor extremely rare,2
447,75,C,"feature exists, but is extremely rare",3
448,75,D,attested absence of feature,4
449,75,X,feature is not applicable (given the structural make-up of the variety/P/C),5
450,75,?,no information on feature is available,6
451,76,A,feature is pervasive or obligatory,1
452,76,B,feature is neither pervasive nor extremely rare,2
453,76,C,"feature exists, but is extremely rare",3
454,76,D,attested absence of feature,4
455,76,X,feature is not applicable (given the structural make-up of the variety/P/C),5
456,76,?,no information on feature is available,6
457,77,A,feature is pervasive or obligatory,1
458,77,B,feature is neither pervasive nor extremely rare,2
459,77,C,"feature exists, but is extremely rare",3
460,77,D,attested absence of feature,4
461,77,X,feature is not applicable (given the structural make-up of the variety/P/C),5
462,77,?,no information on feature is available,6
463,78,A,feature is pervasive or obligatory,1
464,78,B,feature is neither pervasive nor extremely rare,2
465,78,C,"feature exists, but is extremely rare",3
466,78,D,attested absence of feature,4
467,78,X,feature is not applicable (given the structural make-up of the variety/P/C),5
468,78,?,no information on feature is available,6
469,79,A,feature is pervasive or obligatory,1
470,79,B,feature is neither pervasive nor extremely rare,2
471,79,C,"feature exists, but is extremely rare",3
472,79,D,attested absence of feature,4
473,79,X,feature is not applicable (given the structural make-up of the variety/P/C),5
474,79,?,no information on feature is available,6
475,80,A,feature is pervasive or obligatory,1
476,80,B,feature is neither pervasive nor extremely rare,2
477,80,C,"feature exists, but is extremely rare",3
478,80,D,attested absence of feature,4
479,80,X,feature is not applicable (given the structural make-up of the variety/P/C),5
480,80,?,no information on feature is available,6
481,81,A,feature is pervasive or obligatory,1
482,81,B,feature is neither pervasive nor extremely rare,2
483,81,C,"feature exists, but is extremely rare",3
484,81,D,attested absence of feature,4
485,81,X,feature is not applicable (given the structural make-up of the variety/P/C),5
486,81,?,no information on feature is available,6
487,82,A,feature is pervasive or obligatory,1
488,82,B,feature is neither pervasive nor extremely rare,2
489,82,C,"feature exists, but is extremely rare",3
490,82,D,attested absence of feature,4
491,82,X,feature is not applicable (given the structural make-up of the variety/P/C),5
492,82,?,no information on feature is available,6
493,83,A,feature is pervasive or obligatory,1
494,83,B,feature is neither pervasive nor extremely rare,2
495,83,C,"feature exists, but is extremely rare",3
496,83,D,attested absence of feature,4
497,83,X,feature is not applicable (given the structural make-up of the variety/P/C),5
498,83,?,no information on feature is available,6
499,84,A,feature is pervasive or obligatory,1
500,84,B,feature is neither pervasive nor extremely rare,2
501,84,C,"feature exists, but is extremely rare",3
502,84,D,attested absence of feature,4
503,84,X,feature is not applicable (given the structural make-up of the variety/P/C),5
504,84,?,no information on feature is available,6
505,85,A,feature is pervasive or obligatory,1
506,85,B,feature is neither pervasive nor extremely rare,2
507,85,C,"feature exists, but is extremely rare",3
508,85,D,attested absence of feature,4
509,85,X,feature is not applicable (given the structural make-up of the variety/P/C),5
510,85,?,no information on feature is available,6
511,86,A,feature is pervasive or obligatory,1
512,86,B,feature is neither pervasive nor extremely rare,2
513,86,C,"feature exists, but is extremely rare",3
514,86,D,attested absence of feature,4
515,86,X,feature is not applicable (given the structural make-up of the variety/P/C),5
516,86,?,no information on feature is available,6
517,87,A,feature is pervasive or obligatory,1
518,87,B,feature is neither pervasive nor extremely rare,2
519,87,C,"feature exists, but is extremely rare",3
520,87,D,attested absence of feature,4
521,87,X,feature is not applicable (given the structural make-up of the variety/P/C),5
522,87,?,no information on feature is available,6
523,88,A,feature is pervasive or obligatory,1
524,88,B,feature is neither pervasive nor extremely rare,2
525,88,C,"feature exists, but is extremely rare",3
526,88,D,attested absence of feature,4
527,88,X,feature is not applicable (given the structural make-up of the variety/P/C),5
528,88,?,no information on feature is available,6
529,89,A,feature is pervasive or obligatory,1
530,89,B,feature is neither pervasive nor extremely rare,2
531,89,C,"feature exists, but is extremely rare",3
532,89,D,attested absence of feature,4
533,89,X,feature is not applicable (given the structural make-up of the variety/P/C),5
534,89,?,no information on feature is available,6
535,90,A,feature is pervasive or obligatory,1
536,90,B,feature is neither pervasive nor extremely rare,2
537,90,C,"feature exists, but is extremely rare",3
538,90,D,attested absence of feature,4
539,90,X,feature is not applicable (given the structural make-up of the variety/P/C),5
540,90,?,no information on feature is available,6
541,91,A,feature is pervasive or obligatory,1
542,91,B,feature is neither pervasive nor extremely rare,2
543,91,C,"feature exists, but is extremely rare",3
544,91,D,attested absence of feature,4
545,91,X,feature is not applicable (given the structural make-up of the variety/P/C),5
546,91,?,no information on feature is available,6
547,92,A,feature is pervasive or obligatory,1
548,92,B,feature is neither pervasive nor extremely rare,2
549,92,C,"feature exists, but is extremely rare",3
550,92,D,attested absence of feature,4
551,92,X,feature is not applicable (given the structural make-up of the variety/P/C),5
552,92,?,no information on feature is available,6
553,93,A,feature is pervasive or obligatory,1
554,93,B,feature is neither pervasive nor extremely rare,2
555,93,C,"feature exists, but is extremely rare",3
556,93,D,attested absence of feature,4
557,93,X,feature is not applicable (given the structural make-up of the variety/P/C),5
558,93,?,no information on feature is available,6
559,94,A,feature is pervasive or obligatory,1
560,94,B,feature is neither pervasive nor extremely rare,2
561,94,C,"feature exists, but is extremely rare",3
562,94,D,attested absence of feature,4
563,94,X,feature is not applicable (given the structural make-up of the variety/P/C),5
564,94,?,no information on feature is available,6
565,95,A,feature is pervasive or obligatory,1
566,95,B,feature is neither pervasive nor extremely rare,2
567,95,C,"feature exists, but is extremely rare",3
568,95,D,attested absence of feature,4
569,95,X,feature is not applicable (given the structural make-up of the variety/P/C),5
570,95,?,no information on feature is available,6
571,96,A,feature is pervasive or obligatory,1
572,96,B,feature is neither pervasive nor extremely rare,2
573,96,C,"feature exists, but is extremely rare",3
574,96,D,attested absence of feature,4
575,96,X,feature is not applicable (given the structural make-up of the variety/P/C),5
576,96,?,no information on feature is available,6
577,97,A,feature is pervasive or obligatory,1
578,97,B,feature is neither pervasive nor extremely rare,2
579,97,C,"feature exists, but is extremely rare",3
580,97,D,attested absence of feature,4
581,97,X,feature is not applicable (given the structural make-up of the variety/P/C),5
582,97,?,no information on feature is available,6
583,98,A,feature is pervasive or obligatory,1
584,98,B,feature is neither pervasive nor extremely rare,2
585,98,C,"feature exists, but is extremely rare",3
586,98,D,attested absence of feature,4
587,98,X,feature is not applicable (given the structural make-up of the variety/P/C),5
588,98,?,no information on feature is available,6
589,99,A,feature is pervasive or obligatory,1
590,99,B,feature is neither pervasive nor extremely rare,2
591,99,C,"feature exists, but is extremely rare",3
592,99,D,attested absence of feature,4
593,99,X,feature is not applicable (given the structural make-up of the variety/P/C),5
594,99,?,no information on feature is available,6
595,100,A,feature is pervasive or obligatory,1
596,100,B,feature is neither pervasive nor extremely rare,2
597,100,C,"feature exists, but is extremely rare",3
598,100,D,attested absence of feature,4
599,100,X,feature is not applicable (given the structural make-up of the variety/P/C),5
600,100,?,no information on feature is available,6
601,101,A,feature is pervasive or obligatory,1
602,101,B,feature is neither pervasive nor extremely rare,2
603,101,C,"feature exists, but is extremely rare",3
604,101,D,attested absence of feature,4
605,101,X,feature is not applicable (given the structural make-up of the variety/P/C),5
606,101,?,no information on feature is available,6
607,102,A,feature is pervasive or obligatory,1
608,102,B,feature is neither pervasive nor extremely rare,2
609,102,C,"feature exists, but is extremely rare",3
610,102,D,attested absence of feature,4
611,102,X,feature is not applicable (given the structural make-up of the variety/P/C),5
612,102,?,no information on feature is available,6
613,103,A,feature is pervasive or obligatory,1
614,103,B,feature is neither pervasive nor extremely rare,2
615,103,C,"feature exists, but is extremely rare",3
616,103,D,attested absence of feature,4
617,103,X,feature is not applicable (given the structural make-up of the variety/P/C),5
618,103,?,no information on feature is available,6
619,104,A,feature is pervasive or obligatory,1
620,104,B,feature is neither pervasive nor extremely rare,2
621,104,C,"feature exists, but is extremely rare",3
622,104,D,attested absence of feature,4
623,104,X,feature is not applicable (given the structural make-up of the variety/P/C),5
624,104,?,no information on feature is available,6
625,105,A,feature is pervasive or obligatory,1
626,105,B,feature is neither pervasive nor extremely rare,2
627,105,C,"feature exists, but is extremely rare",3
628,105,D,attested absence of feature,4
629,105,X,feature is not applicable (given the structural make-up of the variety/P/C),5
630,105,?,no information on feature is available,6
631,106,A,feature is pervasive or obligatory,1
632,106,B,feature is neither pervasive nor extremely rare,2
633,106,C,"feature exists, but is extremely rare",3
634,106,D,attested absence of feature,4
