ID,Name,Description,Contributors
11,British Creole,"British Creole is spoken by British born people of Caribbean background whose parents, grandparents or great grandparents have migrated to Britain since 1948. It is an ethnic variety, rather than a regional or local one. British Creole is the product of dialect contact between West Indian migrants, the largest group of whom were Jamaican during the period of critical formation (1950-1970), and vernacular varieties of urban English English. Because of the Jamaican input, most apparent at the lexical and grammatical level, British Creole has been described as a collection of local British varieties of Jamaican Creole. Speakers of British Creole (who usually call the language Patois or Patwa), from the second generation onwards, are all bilinguals or multilinguals. At a very early age, they acquire a local variety of British English; at school if not earlier, they will be exposed to Standard English as well. In the second and later generations, code switching in private conversations is common, with local English English predominating over Creole. Although grammatical, phonological and lexical evidence indicates clearly that British Creole is based on Jamaican Creole, its speakers are not confined to the descendents of Jamaicans.",Mark Sebba
12,Maltese English,"Maltese English (“MaltE”) is a postcolonial English variety spoken on the Mediterranean island-nation of Malta by Maltese-English bilinguals.  According to the 2005 census, English is spoken by 318,354 Maltese residents, or 87.9% of the population; Maltese is reported as being spoken by 97.9% of the population.  MaltE is acquired as an L1 and L2, both simultaneously with Semitic Maltese and sequentially. While the majority of people acquire MaltE largely outside the home as an early L2, MaltE is also acquired at home as an L1 by a minority of speakers residing largely in the Northern Valletta Harbour region.  MaltE is the main language in independent and church schools and at the University of Malta, yet there is good evidence of high-levels of codeswitching in teacher-pupil discourse (Camilleri 1995). Both languages are used in the workplace to varying degrees.  MaltE exhibits deviations from British and American varieties at all levels of linguistic structure, it displays structural regularity conditioned by linguistic, social, and stylistic factors, and shows influence from Maltese and Italian.",Lisa Bonnici and Michaela Hilbert and Manfred Krug
13,Newfoundland English,"Newfoundland was one of the earliest British-settled areas of the New World, with continuous settlement from the beginning of the 17th century. Until the 20th century, settlers in Newfoundland were drawn almost exclusively from two principal geographical sources, the southwest counties of England and the southeast counties of Ireland. From a linguistic perspective, geographical, socioeconomic and demographic factors have had a conservative effect. At present, there is a considerable range of dialect diversity within Newfoundland, which correlates with both social and regional factors, as well as speech register.",Sandra Clarke
14,Colloquial American English,"Colloquial English constructions fall into two categories: those that are socially and stylistically diagnostic but have no regional affiliation, and those that are regionally restricted but usually not diagnostic socially or stylistically. Features in the first category are typically recognized as vernacular, so they attract the attention of English teachers, prescriptive dictionary editors, and other language watchers concerned about the health and vitality of the language. Features in the second category, however, may either occur so transparently that they go unnoticed until attention is drawn to them, or be widely recognized as dialectal stereotypes.",Beth Lee Simon
15,Urban African American Vernacular English,"Urban varieties of African American Vernacular English (AAVE) are spoken by more than 30 million working-class African Americans throughout North America, with heavy concentrations of speakers in metropolitan areas such as New York, Philadelphia, Washington, DC, Chicago, Detroit, Houston, and Los Angeles. These cities account for well over half of urban AAVE speakers. Many of these residents migrated from rural areas of the South during the Great Migration from 1910 through 1930, and some of these urban African American communities remain among the most de facto segregated regions in the United States. In these segregated urban contexts, many of the contemporary features of AAVE were developed or intensified during the twentieth century, setting these varieties further apart from cohort, working-class white metropolitan communities. In Northern urban areas, AAVE is less likely to show accommodation to regional dialects than in the South. In more recent decades, a trend of Southern back-migration has taken place, in which cities of the Southern United States such as Atlanta, Charlotte, and Memphis have become prominent contemporary sites for the use of urban AAVE. In some respects, the distinction between urban and rural AAVE overshadows straightforward regional dialects in marking varieties of AAVE.",Walt Wolfram
16,Rural African American Vernacular English,"Varieties of rural, or “non-metro” African American Vernacular English (AAVE), are spoken by several million working-class African Americans living in small, more-geographically remote communities in the Southern United States, though there are some representative rural African American communities in the Northern United States and in Canada. More than 70 percent of these residents are concentrated in the Southern states of Alabama, South Carolina, North Carolina, Mississippi, Georgia, and Louisiana. Rural Southern AAVE varieties served as the foundation for the development of current-day AAVE, thus providing an important sociohistorical and sociolinguistic context for examining the earlier status of AAVE as a socioethnic variety. Some small, rural Black Southern communities have been continuously maintained for up to three centuries, transitioning from earlier slave and sharecropping communities into predominantly African American, independent communities. For many structural linguistic features, Southern rural varieties of AAVE are more closely aligned with their regional working-class white Southern dialects than their metropolitan counterparts. At the same time, rural African American varieties typically maintain a distinctive base of socioethnic dialect traits that differentiates them from white cohort dialect communities.",Walt Wolfram
17,Earlier African American Vernacular English,"For decades American sociolinguists have debated the origins of AAVE. While earlier views tended to believe in a prior creole stage, more recent scholarship increasingly accepts the assumption that many features of AAVE go back to English dialect roots. What is responsible for the extent to which slaves learned approximations of white dialects or restructured the English they used is likely to depend on the nature of the contact between the black and white population. Regional differences in and temporal change of settlement patterns, demographics, and economics of the US South suggest varying conditions for the slaves’ language acquisition within the former colonial area of the US South.",Alexander Kautzsch
18,Ozark English,"Ozark English is a rural, working-class variety spoken in the highlands of northwestern Arkansas and in neighboring parts of southwestern Missouri.  The region was first settled in the 1830s by migrants from the Upper South/South Midland, especially from the states of Kentucky and Tennessee; therefore, it is no surprise that Ozark English shares a number of features with dialects in the Upper South, and especially with Appalachian English.  The Ozark region experienced a net loss of population between 1900 and 1940, and this loss of population, coupled with the region’s relative physical and cultural isolation, contributed to Ozark English being something of a “relic” variety.  Since the 1940s, the region has seen a significant growth in population, and the increase in population from outside the region may well, over time, diminish the status of Ozark English as a distinct regional variety.",Michael Ellis
19,Appalachian English,"The first European settlers of Appalachia, a mainly mountainous region of the eastern United States, arrived in the 1730s and were mostly of Scotch-Irish or German origin. Until recently travel in or across the region has often been difficult and many smaller communities have been physically remote from centres of population. The isolated character of the entire area has, however, been greatly overstated. Because of its varied history, its large expanse, and its loose borders, Appalachia represents neither a distinct nor a unified speech region. Several sub-regional varieties were the result of settlement by different groups. The broadest geographical definition of the region is from central New York southwest to northeastern Mississippi, with a population of 23 million.",Michael Montgomery
20,Southeast American enclave dialects,"The dialectal complexity of the American South should not be underestimated. A history of demographic upheavals has produced a complicated web of ethnic, regional, social, and generational variation, as well as relic areas, current focal areas, and former focal areas. Noteworthy enclave dialects in North Carolina, produced by centuries of relative isolation, have been the focus of much recent research. These include the dialects spoken on the island of Ocracoke, in coastal Hyde County, and by the Lumbee Indians.",Walt Wolfram
21,Gullah,"Gullah is spoken primarily along the coasts of South Carolina and Georgia. It probably emerged through a process of language contact between African and English varieties spoken during the Atlantic slave-trading era. During this time, African slaves, speaking a variety of mutually non-intelligible languages, would have had an urgent need to communicate with one another and those that enslaved them. In response to this need, they are believed to have formed contact varieties which drew upon the English vocabulary of the British slave traders and plantation owners, while retaining phonological and grammatical features from their own West African languages.",Salikoko Mufwene
22,Chicano English,"ChcE is a native variety of English that has been influenced by its Mexican Spanish substrate. Speakers of this ethnic dialect enact their social practices with Chicano English, in conjunction with Chicano Spanish and in some cases other varieties of Spanish and English as well. The hostility that ChcE arouses is consistent with the general publicʼs disapproval of other U.S. ethnic dialects, such as African American Vernacular English, whose communities seem to resist the national hegemony of English monolingualism and Standard English.",Robert Bayley
23,Bahamian English,"The Bahamas consist of more than 700 islands and over 5,000 square miles of land mass. The 30 inhabited islands contain almost 300,000 permanent residents, two-thirds of whom now live in the urban area of Nassau. Many of the Afro-Bahamians, who comprise 85 percent of the population, came from the Gullah-speaking areas of South Carolina and Georgia and many of the original Anglo-Bahamian settlers were British loyalists from North America who came to the Bahamas from the US after the Revolutionary War.",Jeffrey Reaser and Benjamin Torbert
24,Bahamian Creole,"Bahamian Creole (locally termed ""dialect"") is spoken by ca. 250,000 speakers in The Commonwealth of The Bahamas, an archipelago of over 700 islands extending between Florida and Hispaniola. The country is heavily urbanized, with about two thirds of all Bahamians living in the capital, Nassau. Economically, it depends on the service-oriented tourism and banking industries. The creole spoken in the Bahamas today was imported by loyalist blacks in the wake of the American Revolutionary War; it may be regarded as a diaspora variety of Gullah. The majority of Bahamians today speak a mesolectal form of Bahamian Creole. Basilectal speakers tend to be elderly Bahamians and/or those who live on the more remote islands, especially in the southeast. As in most other post-colonial speech communities, negative attitudes towards the vernacular prevail. Since independence in 1973, Bahamian Creole has received a boost as a symbol of national identity. Nevertheless, the role of standard English as the sole official language of the country is uncontested.",Stephanie Hackert
25,Barbadian Creole (Bajan),"Barbados is a contemporary nation state that won its independence from Britain in 1966. While the official language of this country is English, the population also speaks an English related Creole, Bajan, arising from a particular language contact situation of slavery and bonded servitude, under British colonization. Bajan is unique amongst languages in the Anglophone Caribbean territories, because its creole affiliations have been questioned.",Korah Belgrave and Stacy Denny
26,Jamaican English,"Jamaican English, or Standard Jamaican English, is the variety of English spoken by more than 2 mio speakers of English in Jamaica. It is the official language of Jamaica, recognised by the constitution, and used in all official domains. Jamaican English developed parallel to Jamaican Creole after the British had taken over the island from the Spanish in 1655 as the colony’s economy was mainly based on large sugar plantations which relied on slaves from West Africa as their labour force. Due to the continued coexistence of Jamaican Creole and English, a linguistic continuum has developed, which ranges between a broad or basilectal variety of Jamaican Creole to an acrolectal variety of Jamaican English. Before Jamaica reached its political independence from Britain in 1962, the most acrolectal variety had been a standard form of British English. More recently, this exogenous standard has been replaced with an emerging regional standard variety, as can be seen in studies such as Sand (1999) on morpho-syntactic and lexical features or Irvine (2008)  on the pronunciation of Jamaican English.",Andrea Sand
27,Jamaican Creole,"The popular perception within Jamaica of the Jamaican language situation is that it consists of two varieties: Jamaican Creole, popularly labeled ʼPatwaʼ and Jamaican English. Historically, JamC phonology represents the output of speakers of West African languages modifying the phonological shape of words coming into their speech from varieties of 17th century British English. JamE in contemporary Jamaica is the Caribbean-accented standard variety used in formal and public contexts.",Peter Patrick
28,San Andrés Creole,"San Andres-Old Providence Creole English is spoken by 20,000 - 30,000 ethnic Creoles in the Archipelago of San Andres, Old Providence and Santa Catalina, Colombia, located 180 kms off the Nicaraguan Coast as well as by emigrants on the Colombian mainland, the Caribbean Coast of Central America, and the United States. It is unclear to what extent the differences between the insular varieties (and even within more densely populated San Andres) are diatopic and not due to variation in terms of the creole continuum model. The key factor seems to be the relative basilectality of certain San Andres varieties vis-à-vis the acrolectality of Providence Creole English. The same applies to closely related Nicaraguan Creole English, which is mesolectal with regard to the cited creoles. Especially San Andres Creole English is first and foremost an off-shoot of Jamaican Creole as the foundations of the present-day population were laid around 1730 with the arrival of colonists (and slaves) from other parts of the British Caribbean, especially Jamaica, and directly from the British Isles (above all from Scotland and Ireland) and West Africa. The creole must have jelled during the second half of the 18th century. Both San Andrés and Providencia Creole English have contributed to the development of Central American English Creoles from the early 19th century onwards. The variety described in the survey is basilectal San Andres Creole.",Angela Bartens
29,Belizean Creole,"The Central American region has been subjected to multiethnic and multilingual influences over the last centuries, starting with Spanish rule in the 15th and 16th century. The location of English speakers in Central America reflects the tumultuous conflicts that opposed Spain and England between the 17th and the 19th centuries, as well as some later traces of labor immigration. All English-speaking regions are located on the Caribbean coast of Central America, and except for Belize, they are all part of overwhelmingly Spanish-speaking republics. In multiethnic Belize, an English-based creole is the mother tongue for some groups and a widely-used lingua franca and second language for most others.",Geneviève Escure
30,Guyanese Creole (Creolese),"Guyanese Creole, more commonly referred to by its native speakers as Creolese, is the mother tongue of the majority of the over 700, 000 inhabitants of the Republic of Guyana on the north-east shoulder of South America. It is a widely-used vernacular language variety which co-exists with Standard Guaynese English, the sole official language, which is normally acquired through formal schooling. Additionally, it is spoken by several hundred thousand other Guyanese, who live in the diaspora communities worldwide. This language variety has a high degree of variability, primarily caused by ongoing contact with its major contributing lexifier, English. Other contributing languages include Arawak (Lokono), Carib (Karina), Bhojpuri, Akan, Kikongo, Yoruba and Dutch. Linguists such as Bickerton (1975) and Rickford (1987) have previously described this language variety as existing on a continuum which has conservative or basilectal Guyanese Creole on one end and acrolectal Standard Guyanese English on the other end.",Hubert Devonish and Dahlia Thompson
31,Eastern Maroon Creole,"The term Eastern Maroon Creole or Nenge(e) is a cover term for three very closely related and mutually intelligible conservative Creole varieties spoken by the descendants of three Maroon groups (Aluku, Ndyuka or Okanisi, Pamaka) in Suriname and French Guiana. Speakers of these languages predominantly reside in rural and urban centres of the two countries, but also in Europe (Netherlands, France). Their speaker numbers are not fully known. Conservative counts estimate that they number roughly between 65.000 and 80.000 speakers in total. These communities and languages emerged throughout the 18th century as a result of their founders’ flight from the plantations of Suriname. These languages are still widely used as home and community languages and in recent years have made some head way in the public sphere in both countries. They used to be very much stigmatized but attitudes towards them have significantly improved due to various social changes in the region.",Bettina Migge
32,Saramaccan,"Saramaccan, spoken in Suriname and French Guyana like Sranan, is a maroon language. It is largely used by the descendants of slaves who escaped from the Jewish-owned plantations on the middle Suriname River. The Jewish population had probably arrived indirectly from Brazil and had brought Portuguese-speaking slaves with them who influenced the local Sranan. This gave rise to a new creole language, the precursor of Saramaccan. Just like the other Surinamese creoles it is often considered a ‘radical’ creole because of its considerable divergence from English. It used to be spoken in semi-autonomous communities founded by escaped slaves in the early to mid 18th century.",Tonjes Veenstra
33,Sranan,"Sranan is one of the English-lexifier creole languages spoken in Suriname and French Guyana. No kind of popular or colonial English is known which could fulfil the role of overall direct precursor to these languages. The first English settlers came to Suriname in 1651, but the vast majority of them had already left the country again in 1675. The first records of Sranan are from 1707. The language diverges to a considerable extent from English and is often referred to as a ‘radical’ creole. Sranan used to be the language of the coastal plantations and of the capital, Paramaribo. Today it is used both as a first language and as a lingua franca throughout the country.",Donald Winford
34,Trinidadian Creole,"The history of conquest, exploitation and migration was different for Trinidad and Tobago, notwithstanding their common Amerindian indigenous base and initial Spanish incursions. Both were claimed by Columbus in 1498, but Tobago was sighted and not invaded at this time. However, Trinidad remained Spanish until 1797, with a strong French presence up to the late-eighteenth century, while Tobago was continuously squabbled over until 1763, but with no lasting linguistic impact either from Spanish or French. Today the two islands share a mesolectal English-lexicon creole, which is alike in most particulars; in addition, a basilectal variety characterizes Tobagonian speech.",Dagmar Deuber and Valerie Youssef
35,Vincentian Creole,"Vincentian creole (VinC) is spoken by natives and residents of St Vincent and the Grenadines, a plural nation located in the southern end of the Caribbean archipelago. Although other varieties of English, ranging from standard Vincentian to a basilectal variety coexist on the islands, locals tend to resort to varieties closer to the basilect in everyday interactions. However, despite its prevalence, for a wide host of Vincentians, Vincentian parlance is broken English or a dialect. In recent years, given the increasing linguistic attention that other varieties of English in the Caribbean region have been attracting, the perception of Vincentian as a bastard language has been changing and the domains of use have increased considerably. VinC is itself, a relatively young language, not more than 300 years old. Indeed, its presence on St Vincent and the Grenadines seems to coincide with the establishment of full scale plantation slavery towards the second half of the eighteenth century.",Paula Prescod
36,Krio (Sierra Leone Creole),"Krio, the lingua franca of Sierra Leone (estimated 5.5 Million population), is used natively by approximately 400,000 speakers living primarily in Freetown and surrounding villages though over 4 Million non-native speakers use it proficiently in various domains of communication daily. Krio emerged from creole varieties used primarily by formerly enslaved groups resettled in Freetown and its environs between 1787 and 1850:  Black Poor (England); Nova Scotians; Jamaican Maroons; and Recaptives (would-be slaves from ships intercepted by British fleet along the West African coast). Krio is embraced as a symbol of Sierra Leone identity though sometimes disparagingly referred to as ‘broken English’. More positive attitudes have resulted in its widespread use in social, political, and educational contexts. Krio grammar has recently been influenced by input from non-native speakers who were displaced from other parts of Sierra Leone by the 1990s civil war and resettled in Freetown, resulting in the incorporation of non-native grammatical forms into Krio. As a result, Krio has developed variant forms where formerly there was no variation. Some native Krio speakers, accepting change as inevitable, have incorporated the variant forms into their grammar; others have criticized and rejected them in an effort to maintain the “purity” of the language.",Malcolm Finney
37,Liberian Settler English,"English is Liberiaʼs official language. There is a Liberian variety of Standard English; it is the language of Liberiaʼs media and institutions of higher learning, and it is the target of language instruction in Liberian schools. Liberian Settler English is the language of the Settler ethnic group, i.e. descendants of the 16,000 African Americans who immigrated to Liberia in the nineteenth century after the abolition of slavery in the Americas and the Caribbean. It is a direct descendant of the nineteenth-century African American English that the immigrants brought with them.",John Singler
38,Vernacular Liberian English,Vernacular Liberian English is the language of most English-speaking Liberians today. First references to the Pidgin go back as far as the beginning of the 18th century. Troops and labourers at a major rubber plantation brought their language with them as the Liberian government reached out from the coastal areas and took control of the interior of the country. VLibE had at first been a local variety of the pidginized English of the West African coast more generally but was strongly influenced by Liberian Settler English as soon as the first settlers arrived in the 1820s. For this reason it now sharply diverges from Pidgin English in the rest of West Africa.,John Singler
39,Ghanaian English,"Ghana is a coastal West African country with a population of 19 million. The number of English speakers has increased steadily from a mere fifth of Ghanaians aged 15+ in 1962 to two thirds at the turn of the millennium, but its quality varies widely, from native-like fluency to broken varieties. There is yet no substantial native speaker community of English. Owing to its colonial past, GhE is oriented towards BrE.",Magnus Huber
40,Ghanaian Pidgin,"Ghanaian Pidgin English is a predominantly urban phenomenon, confined to a smaller section of society than Pidgin in other anglophone West African countries. Also, its functional domain is more restricted and the language is more stigmatized. There are two varieties of GhP. Uneducated GhP is used in highly multilingual contexts, whereas the more educated varieties are better characterized as in-group languages whose main function is to express group solidarity. GhP enjoys covert prestige among educated adult males in urban, informal, and unmonitored settings, but in formal and traditional situations Pidgin is felt to be inadequate, rude, or disrespectful and a Ghanaian language or Standard English is preferred.",Magnus Huber
41,Nigerian English,"English was introduced in Nigeria with the establishment of British trading contacts on the West African coast in the sixteenth century and began to be formally studied from the middle of the nineteenth century on. In the 1880s, the missionary stations were ordered to teach English in their schools to Africans who would serve British colonial and trade interests. In Nigerian education today, English plays a key role. There is no uniform accent of English spoken throughout Nigeria. Nigerian English is usually divided into several sub-varieties, with a continuum of degrees of competence in English as a typical characteristic of a country where English functions as a second language.",Rotimi Taiwo
42,Nigerian Pidgin,"Nigerian Pidgin is the product of contact between English and Nigerian languages. However, the first European visitors to the coast of Nigeria were not the English but the Portuguese. A kind of pidgin Portuguese probably developed between the Portuguese and their Nigerian hosts, later to be replaced by an English-based Nigerian Pidgin which is widely used nowadays. Today, several sub-varieties of Nigerian Pidgin can be recognised. Nigerian Pidgin has no official status even though the Government and its agents now use it as a means of reaching a wider audience.",Nicholas Faraclas
43,Cameroon English,"Cameroon English (CamE) is the English of the educated Anglophone Cameroonian. Despite some predictable ethnic and educational variations, CamE is fairly homogeneous, due partly to the relatively small size of the Anglophone population on which it is basically modelled; the two Anglophone provinces cover 9% of the national territory, and have about three million inhabitants, which represents about 20% of the countryʼs population. Its norm orientation is towards British English, although the accent is clearly West African.",Augustin Simo Bobda
44,Cameroon Pidgin,"From a fairly marginal language that grew out of contacts between Europeans and the coastal inhabitants of Cameroon some three hundred years ago, Kamtok has developed into a fully-fledged language and is put to a wide range of uses. A survey of urban centres revealed that in the English-speaking part of the country up to 97% of school-age children already use Kamtok at the time they enter school. Kamtok is used in science and technology, in urban mass or popular culture and religion. Users bring into their Kamtok idiolects various features that derive from the official and indigenous languages that they use in different circumstances.",Anne Schröder
45,Tanzanian English,"Tanzania was only colonised in the last decades of the 19th century. The Germans as first colonisers did not establish their own language in the colony, however, but rather used the language of the coastal towns, Kiswahili, as a lingua franca also for the inland territory. When the British took over the colony after Word War I, they essentially kept this system. Kiswahili continued to be used in ethnically mixed centres and English was reserved for the highest functions in administration, law and education. The expansion of English down the social hierarchy began mainly at the end of colonial rule but Tanzania also made great progress towards expanding the functions of Kiswahili at the expense of English. TznE shows the characteristic features of New Englishes and has about 2 million speakers (5% of the population) today.",Josef Schmied
46,Kenyan English,"The Kenyan English described here is a post-colonial second language variety spoken by Black Kenyans. It co-exists with minority native English varieties spoken by White and Asian Kenyans. It is surrounded by around forty indigenous languages, among which Swahili, representing the tribes of Kenya. But Swahili, unlike the others, has always enjoyed the constitutional status of the national language of Kenya and, from August 2010, that of official language besides English. While both Swahili and English serve as lingua francas, the latter is more widely spoken because it has always been the official medium of instruction from class 1 of primary school (except where indigenous languages are dominant) while Swahili is only taught as a subject. English enjoys high prestige among educated Kenyans, especially in Nairobi, where it is acquired as an L1 in a non-negligible number of wealthy families. Kenyan English is characterized by distinctive linguistic features used nationally and those, essentially phonological, used regionally and identifiable from accents influenced by local indigenous languages.",Alfred Buregeya
47,Ugandan English,"Ugandan English is influenced by the different indigenous languages in Uganda and to a great extend by Luganda, the most widely spoken language in the country. In their early contact with the British, the Baganda demanded the official use of English for local and intra-territorial communication in the country. The British colonial government introduced English as a subject in primary schools and it became a language of instruction in secondary schools and other higher levels of education. At independence, Uganda had a considerable number of English speakers, who spoke the language almost without an accent. However, the political instability in 1970s and 1980s was not only marked by the expulsion of foreigners, the majority of whom were native speakers of English, but also the killing of Ugandans who had become fluent English speakers. However, notwithstanding the political instability, all postcolonial governments maintained the status of English as the only official language of country. It is the main language of education, government, commerce, and judiciary. In Kampala, the capital city of the country, its use as the language of the media and entertainment is now very significant.",Jude Ssempuuma
